Job Title,Industry,Job Status,AI Impact Level,Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Median Salary (USD)
Pensions consultant,IT,Decreasing,Moderate,High School,17,7111,8183,16.77,67.01,UK,75.18,87254.75
Telecommunications researcher,Entertainment,Increasing,High,Associate Degree,8,1514,8783,92.08,45.92,China,53.12,85169.1
Leisure centre manager,Finance,Decreasing,Low,Master’s Degree,8,3252,6431,43.0,5.65,Canada,37.68,47340.11
"Therapist, drama",Education,Decreasing,Moderate,Bachelor’s Degree,13,8151,6272,86.28,0.76,Germany,46.09,142593.24
Learning disability nurse,Transportation,Increasing,Moderate,Master’s Degree,1,2926,9434,99.81,67.17,Australia,25.11,132312.44
"Surveyor, commercial/residential",Education,Increasing,Moderate,Associate Degree,11,6640,3547,76.74,24.87,UK,74.59,72328.12
Hospital pharmacist,Entertainment,Decreasing,High,Master’s Degree,20,5998,8031,92.96,81.36,India,56.51,122688.72
"Surveyor, commercial/residential",Finance,Increasing,Moderate,High School,16,4171,3138,82.27,65.67,Australia,74.21,72523.76
"Horticulturist, amenity",Transportation,Decreasing,Moderate,High School,2,6809,1426,11.93,74.84,India,76.17,89145.09
Contracting civil engineer,IT,Decreasing,High,PhD,6,387,2361,98.32,79.51,Canada,47.85,35894.81
Analytical chemist,Retail,Increasing,Moderate,High School,18,4388,4181,36.42,53.36,Brazil,46.71,67890.0
"Merchandiser, retail",Manufacturing,Increasing,High,High School,20,4192,9570,11.53,37.87,USA,44.55,112337.47
"Investment banker, operational",Manufacturing,Increasing,Moderate,High School,20,1227,4751,32.14,23.66,Canada,27.56,37111.08
Acupuncturist,Manufacturing,Decreasing,Low,Bachelor’s Degree,16,4104,3904,86.45,24.96,China,40.28,79383.63
Dancer,Education,Decreasing,Moderate,Bachelor’s Degree,15,1623,3377,54.79,87.14,USA,45.96,147909.06
Occupational hygienist,Healthcare,Decreasing,High,High School,10,3523,2802,67.74,2.21,India,38.13,76209.21
"Engineer, mining",Entertainment,Increasing,High,Master’s Degree,2,4765,5855,9.21,11.16,Germany,69.41,71014.41
Air broker,Retail,Increasing,Moderate,PhD,13,7157,5396,41.68,26.06,India,59.22,137433.67
Psychiatrist,IT,Decreasing,Low,PhD,4,7753,463,57.57,6.87,USA,52.91,94154.47
Surgeon,Education,Increasing,Moderate,Bachelor’s Degree,7,4276,2890,72.72,15.15,UK,23.93,41638.05
International aid/development worker,Retail,Decreasing,High,Bachelor’s Degree,13,2483,6564,2.34,77.46,Australia,64.44,111536.03
"Surveyor, rural practice",Entertainment,Increasing,Moderate,PhD,7,7379,9203,97.69,77.53,Germany,37.81,127033.4
Ceramics designer,Transportation,Increasing,High,Associate Degree,11,1473,8555,41.11,57.59,Brazil,32.69,73318.63
"Engineer, mining",Finance,Decreasing,Low,High School,0,236,7493,18.79,64.73,Brazil,46.4,106005.77
Patent examiner,Retail,Decreasing,High,High School,16,6378,2712,7.23,38.35,Australia,24.4,106521.39
Glass blower/designer,Education,Decreasing,Moderate,High School,10,2809,5367,83.0,44.83,Canada,38.84,33510.6
"Sound technician, broadcasting/film/video",Manufacturing,Increasing,Low,Bachelor’s Degree,0,8337,4425,27.24,22.15,Australia,65.58,64401.97
"Surveyor, land/geomatics",Transportation,Increasing,Moderate,PhD,13,3504,5265,92.85,75.74,Brazil,25.83,56090.63
Environmental manager,Education,Increasing,Low,Associate Degree,19,1385,4539,0.57,73.15,UK,39.61,117520.5
Chief Operating Officer,Entertainment,Increasing,Low,Associate Degree,5,2407,1448,62.65,20.04,Brazil,70.09,145452.22
"Journalist, broadcasting",Manufacturing,Increasing,Low,PhD,5,4597,3787,86.91,70.58,USA,79.93,70601.36
Land/geomatics surveyor,Finance,Increasing,High,Bachelor’s Degree,17,9405,8957,60.04,80.79,Brazil,46.74,93359.6
Chief Strategy Officer,Entertainment,Increasing,Low,High School,14,7434,6641,45.03,43.63,USA,23.71,59569.64
Museum education officer,IT,Decreasing,Moderate,PhD,1,332,917,75.27,57.36,Brazil,30.34,136707.93
Volunteer coordinator,Healthcare,Increasing,High,PhD,15,2645,9656,65.35,75.96,Canada,30.05,132545.59
"Scientist, forensic",Retail,Increasing,Low,Master’s Degree,5,7759,1117,35.66,43.02,Germany,71.2,137398.14
Occupational hygienist,Transportation,Decreasing,High,Bachelor’s Degree,3,8463,3305,70.02,41.36,USA,59.57,123198.32
Social researcher,Entertainment,Increasing,Moderate,High School,9,9468,7673,98.56,70.69,UK,25.69,58192.9
"Surveyor, commercial/residential",IT,Increasing,Low,Bachelor’s Degree,8,6224,4765,97.13,51.86,USA,67.83,74928.04
Insurance underwriter,Transportation,Decreasing,Moderate,High School,8,3298,2184,45.8,49.41,Germany,71.94,34700.45
Planning and development surveyor,Transportation,Decreasing,Moderate,High School,13,6217,4309,79.37,88.71,China,66.74,69752.47
"Designer, ceramics/pottery",Finance,Decreasing,Moderate,Master’s Degree,5,4032,5284,61.06,55.5,India,43.25,31481.67
Medical secretary,IT,Increasing,Moderate,High School,3,6096,4889,12.69,2.71,USA,40.4,58727.53
"Education officer, community",Retail,Decreasing,Moderate,Master’s Degree,13,9695,4933,9.38,14.8,Brazil,32.13,88178.05
Corporate investment banker,Healthcare,Increasing,Moderate,Master’s Degree,12,9185,7504,15.08,44.12,USA,49.53,56050.88
"Teacher, secondary school",IT,Increasing,Moderate,Associate Degree,3,9172,3383,13.61,91.53,Canada,49.99,39618.95
Special educational needs teacher,Transportation,Increasing,Moderate,Associate Degree,20,3358,4022,25.26,44.1,India,61.35,86093.63
"Nurse, mental health",Entertainment,Increasing,Moderate,Associate Degree,20,4534,1749,8.37,6.54,Australia,50.19,113481.29
Translator,Transportation,Decreasing,Low,High School,16,3210,2661,37.86,4.76,China,33.15,145991.53
"Engineer, electrical",Finance,Decreasing,High,PhD,14,3783,5675,5.19,50.02,Germany,29.86,47096.02
Press sub,Transportation,Increasing,Low,Associate Degree,7,9127,5888,36.99,65.1,USA,30.14,101292.3
Clinical molecular geneticist,Retail,Increasing,Moderate,Associate Degree,19,223,5463,11.09,44.08,China,55.34,117900.65
Software engineer,Healthcare,Decreasing,Low,Associate Degree,3,1925,1955,7.75,4.01,USA,30.3,133675.03
"Accountant, chartered public finance",Manufacturing,Decreasing,Moderate,PhD,10,491,569,81.12,94.79,USA,47.35,139605.55
Politician's assistant,IT,Increasing,High,High School,7,6757,3131,24.07,92.99,India,71.18,79016.66
Actor,Finance,Increasing,Low,Master’s Degree,10,2013,3884,6.75,78.35,UK,39.6,34117.37
Chartered management accountant,Retail,Decreasing,Low,Bachelor’s Degree,10,7107,3504,57.45,34.34,Germany,79.06,70187.7
Energy engineer,Education,Increasing,Low,Bachelor’s Degree,15,5068,9522,79.01,57.58,Canada,64.17,95580.24
Economist,Entertainment,Increasing,High,Bachelor’s Degree,11,4258,1894,7.83,12.02,Canada,38.94,138690.6
Educational psychologist,IT,Increasing,Low,High School,9,6321,4910,25.37,71.99,UK,51.62,59913.19
"Administrator, sports",Healthcare,Increasing,Low,Bachelor’s Degree,20,1982,3212,38.69,44.17,Australia,59.57,102552.09
Microbiologist,Education,Decreasing,Moderate,PhD,6,5166,8243,17.18,22.96,China,35.8,37647.7
Administrator,IT,Decreasing,Low,Bachelor’s Degree,16,786,7553,61.84,86.48,Canada,69.49,84148.61
Database administrator,Entertainment,Decreasing,High,Bachelor’s Degree,17,5028,7954,13.43,23.69,Brazil,59.66,61072.12
"Engineer, communications",IT,Increasing,Moderate,Master’s Degree,14,4418,7413,2.24,0.66,India,38.61,76525.84
Counsellor,Entertainment,Increasing,Moderate,Bachelor’s Degree,5,3520,7111,79.37,32.72,Germany,48.93,72576.26
"Designer, television/film set",Education,Increasing,High,Associate Degree,3,7331,8909,27.7,32.95,Germany,47.16,91970.06
Aid worker,Healthcare,Decreasing,Moderate,Associate Degree,16,8537,2936,3.41,49.91,USA,48.46,123070.28
Armed forces operational officer,Healthcare,Decreasing,Moderate,Associate Degree,4,1023,8641,32.89,30.05,India,29.61,129537.28
"Therapist, horticultural",Transportation,Increasing,Moderate,Bachelor’s Degree,6,4790,7660,87.54,38.34,USA,77.71,122143.56
Quarry manager,Entertainment,Decreasing,Moderate,Master’s Degree,1,5103,3669,63.27,46.47,India,77.97,111242.14
Medical laboratory scientific officer,Retail,Increasing,Low,Associate Degree,14,5197,7563,82.74,2.69,Canada,73.1,34717.27
"Surveyor, commercial/residential",Transportation,Increasing,High,Bachelor’s Degree,4,7740,2745,4.43,80.76,USA,62.49,124336.8
Actor,Finance,Decreasing,Moderate,Master’s Degree,14,8465,6338,16.22,44.21,Canada,65.58,109333.54
Analytical chemist,Transportation,Decreasing,High,Associate Degree,0,964,4666,21.7,70.11,UK,49.24,32528.6
Pension scheme manager,Finance,Decreasing,Moderate,PhD,8,7206,2197,64.52,77.23,UK,40.9,124608.74
Fine artist,Education,Increasing,Moderate,Bachelor’s Degree,12,9503,5737,75.0,50.96,USA,68.36,96962.4
Charity fundraiser,Transportation,Decreasing,Moderate,High School,9,3205,9822,52.8,98.87,USA,25.31,107802.84
Research scientist (physical sciences),Healthcare,Decreasing,Low,Master’s Degree,0,4865,1078,70.36,57.9,India,40.85,149894.47
Market researcher,Finance,Decreasing,Moderate,PhD,6,646,2153,35.29,45.87,Germany,32.03,63293.24
Air cabin crew,IT,Increasing,Low,Bachelor’s Degree,10,9247,8209,52.49,70.09,Australia,30.79,146955.02
Pension scheme manager,Entertainment,Increasing,Low,PhD,10,2665,7059,17.21,73.33,Brazil,74.59,135089.93
Equality and diversity officer,IT,Decreasing,High,High School,15,1947,8450,58.74,48.58,China,73.56,38912.71
Physiotherapist,Retail,Decreasing,Low,PhD,0,5485,3303,8.01,20.74,Australia,27.07,112218.67
"Psychotherapist, child",Healthcare,Decreasing,Moderate,PhD,11,4312,2369,99.91,24.95,China,40.87,88379.53
Passenger transport manager,Transportation,Increasing,High,Master’s Degree,9,5541,5125,6.01,76.37,Canada,70.69,135153.12
Furniture designer,Entertainment,Increasing,Moderate,Bachelor’s Degree,0,6075,3257,87.58,42.94,Germany,42.91,93318.18
Corporate investment banker,Finance,Increasing,High,Master’s Degree,13,1058,9489,30.85,46.96,UK,44.21,75465.97
"Chemist, analytical",Entertainment,Decreasing,High,Bachelor’s Degree,11,6806,9679,2.31,91.65,Australia,75.81,91429.97
"Designer, exhibition/display",Education,Decreasing,High,PhD,19,9711,8495,71.85,15.01,China,58.11,89686.2
Petroleum engineer,Transportation,Decreasing,Moderate,PhD,3,352,209,64.42,28.55,China,31.05,52144.19
Theme park manager,Transportation,Increasing,High,PhD,2,1096,3453,34.37,76.72,China,22.09,54999.01
Sales promotion account executive,IT,Increasing,Low,PhD,2,2065,6304,30.25,78.1,India,32.25,147968.92
Archivist,Manufacturing,Decreasing,High,PhD,17,8156,8154,39.31,25.91,China,39.94,73184.29
"Engineer, petroleum",Healthcare,Decreasing,Low,Bachelor’s Degree,4,3427,6363,38.26,36.36,USA,62.55,83790.25
Barrister's clerk,Healthcare,Decreasing,Moderate,Associate Degree,11,8026,4301,97.03,97.23,Canada,64.24,106774.47
Dispensing optician,Entertainment,Increasing,High,Associate Degree,8,8007,5775,62.08,47.14,Canada,23.07,92761.85
Interior and spatial designer,Entertainment,Increasing,Low,PhD,18,8485,6822,9.22,68.89,India,41.19,78554.77
"Secretary, company",Entertainment,Increasing,High,Associate Degree,10,5051,8351,72.83,92.53,Brazil,37.14,57719.5
Hydrographic surveyor,Manufacturing,Decreasing,High,Master’s Degree,6,471,7718,61.96,31.55,Australia,42.74,95694.53
Sports coach,Entertainment,Increasing,High,Master’s Degree,20,7177,1118,95.12,85.71,USA,67.41,54730.71
"Programmer, multimedia",Transportation,Increasing,High,Bachelor’s Degree,5,6978,3800,21.88,24.21,Brazil,79.09,134288.1
Jewellery designer,Finance,Decreasing,High,Bachelor’s Degree,14,7929,6465,90.0,6.97,UK,30.87,104259.11
"Pharmacist, community",Entertainment,Decreasing,Low,Associate Degree,5,7047,2681,85.28,18.66,Canada,33.33,123443.83
Health and safety inspector,Entertainment,Decreasing,Moderate,High School,1,915,7330,41.67,20.24,India,73.93,77754.64
Public relations account executive,Finance,Decreasing,High,High School,1,630,3294,54.61,33.13,Germany,75.92,96474.52
"Solicitor, Scotland",Entertainment,Decreasing,High,Bachelor’s Degree,6,4392,667,96.49,5.76,Germany,47.99,43570.49
"Research officer, government",Finance,Decreasing,High,Associate Degree,5,3406,975,74.45,33.0,Germany,41.92,100035.86
Private music teacher,Retail,Increasing,High,Bachelor’s Degree,13,9666,2910,69.91,54.61,Canada,44.6,109919.61
Best boy,Manufacturing,Increasing,Moderate,Master’s Degree,19,3358,7828,55.95,73.25,Brazil,42.76,132888.45
"Designer, television/film set",Education,Increasing,Low,Bachelor’s Degree,18,537,3927,85.51,63.16,Canada,51.15,105126.03
Film/video editor,Finance,Decreasing,Low,Master’s Degree,18,156,7635,27.17,98.94,Germany,78.2,44447.12
Senior tax professional/tax inspector,Finance,Decreasing,High,High School,5,2572,1581,4.38,55.14,Australia,28.17,101139.89
Energy manager,IT,Decreasing,Moderate,Associate Degree,14,2668,2658,96.96,62.27,Canada,79.57,116361.82
Computer games developer,Manufacturing,Increasing,Moderate,PhD,0,7800,1295,27.81,91.68,India,26.04,68307.4
"Engineer, water",Retail,Increasing,High,High School,16,5533,9071,43.71,45.18,Brazil,38.55,117292.93
Politician's assistant,Retail,Increasing,Moderate,Bachelor’s Degree,8,8166,7568,56.8,90.02,Australia,72.92,125384.54
Arboriculturist,Transportation,Decreasing,Low,Associate Degree,7,154,1188,98.25,53.06,India,26.55,100402.76
Quarry manager,Entertainment,Increasing,Moderate,PhD,5,5681,1516,60.41,99.57,UK,56.86,36034.68
Animal technologist,Education,Decreasing,High,High School,7,7069,9485,40.52,45.86,Canada,65.59,82266.84
Community arts worker,Entertainment,Decreasing,High,Bachelor’s Degree,7,6699,2651,79.68,16.2,Canada,59.48,38204.7
Building surveyor,Education,Increasing,Moderate,PhD,2,6678,7536,15.39,9.63,USA,49.3,55382.09
Company secretary,IT,Increasing,Moderate,High School,5,2530,1468,86.0,81.3,UK,27.2,63945.93
Environmental health practitioner,Education,Decreasing,Low,Master’s Degree,7,3504,2768,18.16,74.39,India,64.0,78014.83
Land/geomatics surveyor,Transportation,Increasing,Low,Associate Degree,2,6885,2702,88.16,64.76,Australia,67.65,134265.62
IT consultant,Healthcare,Increasing,Moderate,Master’s Degree,15,996,5201,27.63,58.68,Australia,79.54,36699.11
Insurance underwriter,IT,Increasing,High,High School,1,7308,3353,75.21,55.12,Germany,77.49,101896.01
Petroleum engineer,Education,Decreasing,Low,Bachelor’s Degree,20,9099,7408,48.14,19.39,Brazil,50.17,62427.37
Equities trader,Transportation,Decreasing,Moderate,Associate Degree,1,8065,1946,15.01,46.71,UK,26.24,65424.55
"Research officer, government",Retail,Increasing,Moderate,High School,2,2649,9892,35.88,78.94,Brazil,64.01,123333.39
"Surveyor, planning and development",Retail,Decreasing,Moderate,Master’s Degree,2,4354,5243,87.9,66.79,USA,63.68,112629.28
Dealer,Entertainment,Decreasing,High,Master’s Degree,3,6218,8611,36.87,44.89,Canada,20.71,85959.45
Marketing executive,Finance,Decreasing,Low,Master’s Degree,3,6926,6796,93.79,5.01,Canada,70.77,134884.05
"Runner, broadcasting/film/video",Transportation,Decreasing,Low,High School,14,8340,1571,53.69,49.48,India,21.56,53030.67
Analytical chemist,Retail,Increasing,Low,Associate Degree,20,909,6684,96.79,87.67,China,47.7,32634.06
Food technologist,Finance,Increasing,High,PhD,3,6443,6814,76.45,25.33,Australia,62.39,143875.5
"Administrator, local government",IT,Increasing,Moderate,Master’s Degree,2,212,8020,0.09,78.72,Germany,59.12,81149.7
"Designer, furniture",Education,Increasing,Low,Master’s Degree,20,9823,6827,89.32,31.26,China,56.1,40025.2
Public relations officer,Finance,Increasing,Moderate,High School,15,6475,3594,89.38,41.4,Germany,69.9,137874.95
"Restaurant manager, fast food",Finance,Increasing,Moderate,High School,3,4160,9416,15.44,87.81,India,28.32,37759.22
Police officer,Transportation,Decreasing,Moderate,Master’s Degree,8,7285,6317,11.76,77.43,India,39.49,68310.7
Operational researcher,IT,Increasing,High,Associate Degree,8,6779,871,40.32,41.04,Germany,30.41,112935.88
Public affairs consultant,Healthcare,Increasing,Moderate,PhD,3,7174,1241,57.32,94.29,Canada,62.58,143622.43
Garment/textile technologist,Education,Decreasing,Low,Associate Degree,19,6928,2380,12.43,11.48,India,23.89,128024.41
Chiropractor,Healthcare,Decreasing,Low,Bachelor’s Degree,13,8592,3145,5.69,63.72,Brazil,29.61,98690.49
Market researcher,Manufacturing,Decreasing,High,High School,8,1228,4245,57.06,11.35,Germany,45.91,39349.95
"Geologist, engineering",Entertainment,Increasing,Low,Master’s Degree,11,5975,1721,31.87,78.78,Australia,77.91,107503.38
Proofreader,Retail,Increasing,Low,PhD,0,4833,3440,58.49,88.65,USA,56.83,82054.19
Publishing copy,Retail,Decreasing,Moderate,PhD,9,4828,5002,1.98,81.13,UK,45.51,63410.52
Dietitian,Healthcare,Increasing,Moderate,High School,14,8718,7684,70.67,45.22,Brazil,38.07,77212.13
Automotive engineer,Education,Decreasing,Moderate,High School,7,1192,5736,66.56,76.27,UK,28.85,40372.99
Ceramics designer,Retail,Increasing,Low,PhD,4,7306,9500,97.45,28.3,UK,56.68,122978.0
Advertising copywriter,Education,Decreasing,High,Master’s Degree,7,494,2794,2.46,91.86,Brazil,61.48,73306.28
Speech and language therapist,Transportation,Increasing,High,High School,18,2978,1668,64.85,59.27,Brazil,69.7,65489.74
Early years teacher,Finance,Increasing,Low,Bachelor’s Degree,11,3795,7143,38.52,67.94,Brazil,61.43,61015.95
Careers adviser,Healthcare,Decreasing,Moderate,High School,19,3095,1041,28.74,95.09,Canada,40.75,74826.14
"Psychologist, clinical",Education,Decreasing,Low,High School,10,3314,1953,58.33,36.28,UK,76.62,119267.89
"Engineer, aeronautical",Healthcare,Decreasing,Low,PhD,20,8305,6830,79.75,85.74,USA,68.0,82698.13
Recruitment consultant,Manufacturing,Increasing,Low,PhD,14,6186,3117,54.33,94.1,Canada,57.53,113559.3
Mining engineer,Transportation,Decreasing,Moderate,High School,17,2873,953,32.21,12.18,Canada,34.36,47087.42
Metallurgist,Education,Decreasing,High,High School,6,6690,4754,45.84,63.58,China,23.04,69702.13
"Therapist, art",Transportation,Increasing,Moderate,Master’s Degree,11,2911,6853,6.88,4.88,Germany,73.27,130987.62
Restaurant manager,Transportation,Increasing,Moderate,Master’s Degree,2,9469,6205,36.91,25.51,Germany,65.4,140461.54
Armed forces operational officer,Manufacturing,Increasing,Low,Master’s Degree,8,8930,3273,81.34,62.23,India,79.0,129554.27
General practice doctor,Manufacturing,Increasing,High,Master’s Degree,20,9587,3864,95.09,93.02,Brazil,38.84,89797.34
"Producer, television/film/video",Retail,Increasing,Low,Master’s Degree,0,578,2973,63.4,6.69,USA,39.74,80530.47
Systems developer,Education,Decreasing,Low,Bachelor’s Degree,15,226,9491,77.89,95.01,China,46.67,115304.59
"Surveyor, land/geomatics",Retail,Increasing,Low,High School,16,6103,6073,1.0,32.05,Australia,51.32,60142.01
Medical sales representative,IT,Increasing,Moderate,High School,9,9948,8494,42.66,57.45,USA,79.42,102655.5
Nutritional therapist,IT,Decreasing,Moderate,Associate Degree,18,9549,1058,6.47,0.61,USA,32.3,76506.41
Fitness centre manager,Healthcare,Decreasing,Low,Associate Degree,10,2139,5105,48.99,43.52,China,25.78,88844.33
Sales promotion account executive,Finance,Decreasing,Moderate,Master’s Degree,19,4886,7064,51.97,41.52,UK,45.22,91602.78
Operational researcher,Healthcare,Increasing,Moderate,Master’s Degree,11,1253,6264,2.35,24.63,Australia,68.94,128708.26
"Engineer, maintenance (IT)",Transportation,Increasing,Low,PhD,3,1576,2255,33.41,0.98,India,67.27,33254.26
Quarry manager,Entertainment,Decreasing,Low,High School,13,1674,7715,64.71,6.67,India,63.77,139499.93
"Engineer, materials",Retail,Decreasing,Low,Bachelor’s Degree,3,6091,7396,17.29,61.32,USA,44.59,61830.78
Waste management officer,Retail,Increasing,High,High School,12,3185,2117,56.32,30.69,India,43.33,72113.81
"Nurse, mental health",Entertainment,Increasing,Low,Bachelor’s Degree,12,5445,7321,9.11,84.8,China,62.04,38992.3
Higher education lecturer,Manufacturing,Increasing,High,Associate Degree,15,3440,9863,73.59,56.5,India,69.46,46106.11
Product manager,Finance,Decreasing,Low,Associate Degree,10,5471,6123,9.3,97.46,Australia,40.9,116879.44
Facilities manager,IT,Increasing,High,High School,15,5592,772,21.23,67.22,Germany,25.7,115401.62
Occupational therapist,Transportation,Increasing,High,PhD,18,4696,7543,44.57,64.9,Germany,23.52,93296.71
"Designer, interior/spatial",Retail,Decreasing,High,PhD,5,3180,1973,76.2,73.65,Brazil,31.91,57115.15
Chartered legal executive (England and Wales),Education,Increasing,Low,PhD,15,966,1530,5.71,50.24,Germany,65.66,125234.06
Magazine features editor,Transportation,Decreasing,Low,Associate Degree,0,6130,5013,65.1,60.17,Brazil,25.83,54430.88
"Nurse, adult",Manufacturing,Increasing,Moderate,PhD,1,1995,6107,16.95,24.66,USA,29.05,114959.2
International aid/development worker,Transportation,Decreasing,Moderate,Associate Degree,12,509,2896,57.35,71.24,UK,55.21,110807.05
Planning and development surveyor,Finance,Decreasing,High,Master’s Degree,2,8284,5764,9.97,33.04,India,72.6,87072.48
"Engineer, electrical",Entertainment,Decreasing,High,Associate Degree,11,1247,428,14.95,71.73,UK,33.39,63858.1
Outdoor activities/education manager,Education,Decreasing,Low,Bachelor’s Degree,13,5037,8297,71.25,9.28,Canada,21.99,51664.75
Corporate investment banker,Transportation,Decreasing,High,Master’s Degree,14,9367,3678,59.06,95.66,India,28.35,54099.68
Call centre manager,Retail,Increasing,Moderate,Associate Degree,1,7935,4193,17.92,49.22,Canada,38.23,54326.89
Legal executive,Healthcare,Decreasing,High,High School,17,7761,6679,13.43,27.85,USA,71.11,141929.88
"Engineer, agricultural",Transportation,Increasing,Moderate,Bachelor’s Degree,20,4158,4811,74.88,89.16,Canada,49.81,30064.48
Arts development officer,IT,Increasing,Low,Bachelor’s Degree,7,6759,2109,67.24,86.46,UK,75.92,135765.7
Musician,Finance,Increasing,High,Associate Degree,4,5345,4740,29.46,67.18,Germany,27.81,104053.21
Energy engineer,Healthcare,Decreasing,High,High School,0,3641,6021,5.12,80.24,UK,43.65,120863.14
Astronomer,Manufacturing,Increasing,Moderate,High School,13,3751,7349,37.21,29.76,China,72.54,121836.46
Recycling officer,Manufacturing,Increasing,Low,High School,7,331,8225,59.2,21.71,Germany,29.0,87875.93
Sales executive,Healthcare,Decreasing,Moderate,PhD,6,9850,5832,52.02,98.37,USA,71.58,140990.86
"Engineer, water",Retail,Increasing,High,Bachelor’s Degree,2,1736,3332,69.7,88.28,India,65.71,109843.45
Phytotherapist,Education,Increasing,Low,Associate Degree,3,6012,4347,14.65,40.2,UK,56.43,118266.24
Mental health nurse,Healthcare,Decreasing,High,Bachelor’s Degree,1,9716,4190,95.01,57.59,Germany,70.22,33483.19
"Librarian, academic",Retail,Decreasing,Moderate,High School,10,1403,9094,0.63,20.41,Canada,63.4,45304.6
"Lecturer, further education",Entertainment,Decreasing,Low,Bachelor’s Degree,0,2720,2328,44.5,47.88,UK,24.6,46758.3
Musician,IT,Increasing,Moderate,High School,19,4878,4641,79.73,43.93,Canada,31.51,41010.19
"Nurse, children's",Entertainment,Decreasing,High,Master’s Degree,13,4464,3992,83.8,48.4,UK,36.92,126979.39
Hospital pharmacist,Education,Increasing,High,Associate Degree,14,1359,567,78.27,5.28,Australia,55.81,136938.58
Production manager,Transportation,Decreasing,High,PhD,9,1627,8007,80.36,8.36,Australia,43.55,33425.59
Marine scientist,Manufacturing,Decreasing,Moderate,Associate Degree,11,5132,8460,66.56,96.23,Canada,39.17,89633.64
Accounting technician,Entertainment,Increasing,High,Associate Degree,0,7493,7234,26.02,27.86,Germany,25.84,65771.36
Illustrator,Healthcare,Increasing,High,PhD,10,2734,2900,54.05,78.14,USA,58.66,66212.67
Biomedical scientist,IT,Decreasing,Moderate,High School,10,7188,4838,29.83,7.24,Canada,21.14,133864.97
Toxicologist,Retail,Increasing,Low,Bachelor’s Degree,18,3012,4315,1.66,10.83,China,45.54,83368.31
Learning disability nurse,IT,Increasing,Low,PhD,10,100,8971,64.67,29.12,China,36.01,82792.8
Company secretary,Finance,Increasing,High,Associate Degree,18,9794,4339,32.82,51.6,China,39.13,105567.0
Phytotherapist,Healthcare,Increasing,Low,Associate Degree,7,8622,8184,0.91,27.42,China,64.7,70158.44
Chartered public finance accountant,Healthcare,Increasing,High,PhD,9,4541,8408,72.45,72.67,India,75.71,106101.08
Private music teacher,Healthcare,Decreasing,High,High School,5,3627,3612,40.47,30.25,Canada,75.32,56485.92
Chartered certified accountant,Entertainment,Decreasing,Moderate,High School,14,3451,9314,83.65,3.68,Australia,53.52,103322.12
Furniture designer,Transportation,Decreasing,Moderate,High School,5,6222,7437,81.3,19.07,India,57.97,101697.73
Surgeon,Education,Decreasing,Low,High School,14,5713,1989,68.95,50.37,Brazil,31.62,36137.55
Cartographer,Education,Decreasing,High,PhD,11,2230,3578,16.82,85.78,China,56.1,118179.86
Health service manager,Healthcare,Decreasing,Moderate,Master’s Degree,7,9305,9219,13.91,84.46,Brazil,54.4,104230.12
Operational investment banker,Finance,Decreasing,Low,Master’s Degree,8,3533,6212,49.62,13.12,India,38.33,53768.51
Careers information officer,Finance,Increasing,Low,High School,5,310,9619,70.21,50.78,Canada,20.3,132194.34
Public librarian,Education,Increasing,High,Associate Degree,1,7260,2321,98.08,30.08,China,46.78,98377.85
Geophysicist/field seismologist,Education,Decreasing,Low,Associate Degree,7,7152,2104,72.5,98.6,Australia,43.01,85997.24
Ophthalmologist,IT,Decreasing,Low,High School,10,5096,7842,86.22,29.24,Germany,74.36,30814.52
Industrial buyer,Finance,Decreasing,Low,Associate Degree,19,4979,2800,86.8,31.85,India,57.53,36441.32
Early years teacher,Finance,Decreasing,Low,Associate Degree,13,5949,8936,38.49,80.01,Australia,69.22,102637.98
Cartographer,Retail,Increasing,Moderate,Associate Degree,0,4593,4693,63.98,92.54,Australia,62.16,104964.62
"Designer, exhibition/display",Retail,Increasing,Low,Bachelor’s Degree,4,7612,7799,61.33,53.57,China,71.85,39598.55
Art gallery manager,Finance,Increasing,Low,Master’s Degree,9,4104,3014,65.23,59.73,USA,21.49,52446.63
Herpetologist,Finance,Decreasing,High,Associate Degree,2,6035,5976,61.25,27.64,Canada,21.01,121574.39
Secretary/administrator,Manufacturing,Increasing,Moderate,Master’s Degree,13,5598,8176,51.99,5.22,UK,43.39,68884.66
Medical illustrator,Finance,Increasing,High,Bachelor’s Degree,13,5010,598,75.27,70.89,Brazil,63.6,67532.36
Clothing/textile technologist,Finance,Decreasing,Moderate,Master’s Degree,12,7678,5185,22.6,54.03,Brazil,33.84,128177.18
Personnel officer,Finance,Decreasing,Moderate,Master’s Degree,14,1471,6918,42.69,42.52,Canada,77.33,55954.56
Dentist,Entertainment,Decreasing,High,Associate Degree,8,5289,580,13.6,98.81,UK,60.68,110431.34
Information systems manager,Manufacturing,Decreasing,Moderate,PhD,13,4243,4717,50.81,50.07,USA,60.38,138726.47
Medical technical officer,Finance,Decreasing,Moderate,PhD,19,1927,2926,99.95,66.66,China,40.55,113953.02
Chartered legal executive (England and Wales),IT,Decreasing,High,Bachelor’s Degree,14,529,1418,68.49,70.55,UK,35.95,63600.6
"Loss adjuster, chartered",Healthcare,Decreasing,Low,PhD,7,6648,6543,9.2,11.46,India,55.78,106943.01
